data_week,casos_est,casos_est_min,casos_est_max,casos,proba_disse>1,incidência_100khab,disseminação,população,tempmin,umidmax,umidmed,umidmin,tempmed,tempmax,municipio,estado,longitude,latitude
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Novo Tiradentes,RS,-53.1837,-27.5649
2023-01-01,10.0,10.0,10.0,10.0,0.99747896,9.459753,6.8109627,105711.0,25.4285714285714,81.4808745714286,63.657234,51.5395832857143,29.4025971428571,31.8571428571429,Tangará Da Serra,MT,-57.4933,-14.6229
2023-01-01,1.0,1.0,1.0,1.0,0.96031237,4.877097,17.116165,20504.0,19.2857142857143,92.3190262857143,76.6823057142857,56.4081015714286,21.9821425714286,26.0,Cocalzinho De Goiás,GO,-48.7747,-15.7914
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6202.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Rio Das Antas,SC,-51.0674,-26.8946
2023-01-01,45.0,45.0,45.0,45.0,0.99999946,288.77625,4.322901,15583.0,19.7142857142857,95.0888271428571,81.4476584285714,64.9556557142857,23.1964282857143,27.7142857142857,Tupi Paulista,SP,-51.575,-21.3825
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9058.0,23.1428571428571,97.4922742857143,78.6257005714286,56.7611062857143,26.2023811428571,30.7142857142857,Caém,BA,-40.432,-11.0677
2023-01-01,1.0,1.0,1.0,1.0,0.68664473,24.709661,1.8437793,4047.0,19.8571428571429,94.0882942857143,80.2161427142857,62.7471132857143,23.5119045714286,27.8571428571429,Kaloré,PR,-51.6687,-23.8188
2023-01-01,11.0,11.0,11.0,11.0,0.5822319,64.53884,1.0927829,17044.0,17.8571428571429,100.0,92.4179758571429,74.13403,20.1726191428571,23.8571428571429,Crixás,GO,-49.974,-14.5412
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6009.0,23.8571428571429,100.0,94.5383278571429,75.6792175714286,26.0952382857143,30.2857142857143,Sapucaia,RJ,-42.9142,-21.9949
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11086.0,19.5714285714286,95.7640285714286,81.1401,66.2650725714286,22.7339181428571,26.7142857142857,Divinolândia,SP,-46.7361,-21.6637
2023-01-01,8.0,8.0,8.0,8.0,0.99390656,66.67778,6.5284486,11998.0,20.0,97.4491142857143,85.1741511428571,65.696913,22.7023811428571,27.4285714285714,Sales Oliveira,SP,-47.8369,-20.7696
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24081.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Joaquim Gomes,AL,-35.7474,-9.1328
2023-01-01,1.0,1.0,1.0,1.0,0.9632679,26.288118,18.521618,3804.0,23.1428571428571,94.1727864285714,87.5501098571429,68.2274668571429,25.1498448571429,29.1428571428571,Rio Crespo,RO,-62.9011,-9.69965
2023-01-01,39.0,39.0,39.0,39.0,0.9999998,42.039906,5.9456244,92769.0,23.2857142857143,94.24556,78.2562812857143,58.1345272857143,26.4464288571429,30.7142857142857,Sorriso,MT,-55.7211,-12.5425
2023-01-01,1.0,1.0,1.0,1.0,0.81452835,10.779346,3.3787985,9277.0,22.4285714285714,90.2484685714286,77.5101105714286,65.2715797142857,25.0428571428571,27.4285714285714,Nova Monte Verde,MT,-57.5261,-9.99998
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9725.0,19.2857142857143,92.3190262857143,76.6823057142857,56.4081015714286,21.9821425714286,26.0,Cavalcante,GO,-47.4566,-13.7976
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42994.0,25.8571428571429,91.9848044285714,76.53298,59.7326964285714,28.3571425714286,31.7142857142857,Rosário,MA,-44.2531,-2.93444
2023-01-01,6.0,6.0,6.0,6.0,0.9933434,105.61521,9.678864,5681.0,23.4285714285714,95.105695,80.4874877142857,67.0697505714286,26.9428571428571,30.0,Cocalinho,MT,-51.0001,-14.3903
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1806.0,17.1428571428571,93.9698111428571,85.5715384285714,72.3013995714286,19.6173471428571,22.5714285714286,Pedro Teixeira,MG,-43.743,-21.7076
2023-01-01,2.0,2.0,2.0,2.0,0.9779825,14.205554,18.521618,14079.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Nilo Peçanha,BA,-39.1091,-13.604
2023-01-01,2.0,2.0,2.0,2.0,0.8177694,0.92034,2.6691706,217311.0,24.6666666666667,86.0733746666667,77.4139666666667,68.1818946666667,26.5039686666667,28.3333333333333,Criciúma,SC,-49.3729,-28.6723
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9187.0,23.8571428571429,100.0,88.7761865714286,69.6662511428571,26.839286,30.5714285714286,Amapá,AP,-50.7957,2.05267
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5050.0,19.1428571428571,100.0,88.3807742857143,71.2474151428571,21.9731092857143,25.4285714285714,José Raydan,MG,-42.4946,-18.2195
2023-01-01,23.0,23.0,23.0,23.0,0.9999653,109.81665,6.006753,20944.0,23.4285714285714,95.105695,80.4874877142857,67.0697505714286,26.9428571428571,30.0,Nova Xavantina,MT,-52.3502,-14.6771
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9911.0,21.0,98.0495466666667,78.4614857142857,55.5736982857143,23.9576165714286,28.2857142857143,Umbuzeiro,PB,-35.6582,-7.69199
2023-01-01,1.0,1.0,1.0,1.0,0.730556,11.936023,2.207831,8378.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Barra De São Miguel,PB,-36.3209,-7.74603
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,16130.0,23.8571428571429,95.90974,85.8633342857143,68.6823111428571,25.7261902857143,29.4285714285714,Urucará,AM,-57.7538,-2.52936
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.0,21.0,98.0495466666667,76.7049392857143,52.2857142857143,24.1,28.7142857142857,Nova Olinda,CE,-39.6713,-7.08415
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Novo Barreiro,RS,-53.1103,-27.9077
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6138.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Tanque D'Arca,AL,-36.4366,-9.53379
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1735.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Crixás Do Tocantins,TO,-48.9152,-11.0994
2023-01-01,1.0,1.0,1.0,1.0,0.9632669,3.1913197,18.521107,31335.0,20.4285714285714,94.41508,79.9674628571429,58.5471398571429,23.3480465714286,28.0,Novo Cruzeiro,MG,-41.8826,-17.4654
2023-01-01,1.0,1.0,1.0,1.0,0.46851066,6.209252,0.91420525,16105.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Barrocas,BA,-39.0776,-11.5272
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17889.0,16.7142857142857,93.0880171428571,77.814343,64.0387637142857,19.8745098571429,23.0,Jacupiranga,SP,-48.0064,-24.6963
